truck_id,date,gallons_filled,cost_per_gallon,odometer_reading,fuel_station_id
T-0027,2026-03-23,49.2,3.57,249704,FS-7805
T-0018,2026-04-03,43.5,3.88,124232,FS-9337
T-0043,2026-03-15,21.2,3.74,208597,FS-9062
T-0049,2026-04-02,23.6,4.42,241280,FS-4139
T-0001,2026-04-02,38.2,3.79,218444,FS-8550
T-0014,2026-03-17,56.0,4.79,140805,FS-4139
T-0021,2026-03-17,68.5,3.71,90581,FS-4139
T-0032,2026-03-30,45.2,4.21,228202,FS-7441
T-0015,2026-03-26,33.6,3.66,109256,FS-4724
T-0018,2026-04-03,27.4,3.52,222430,FS-7636
T-0042,2026-03-15,27.0,3.81,253167,FS-4427
T-0001,2026-03-19,75.0,3.89,115064,FS-7500
T-0032,2026-03-26,65.2,3.36,84046,FS-9754
T-0006,2026-03-29,78.6,3.15,207402,FS-5203
T-0023,2026-03-23,60.6,4.71,161648,FS-6535
T-0030,2026-04-04,35.2,3.55,294377,FS-9175
T-0034,2026-03-26,59.3,3.59,141873,FS-8397
T-0008,2026-03-30,13.1,4.29,221324,FS-9457
T-0044,2026-03-26,77.8,4.72,17773,FS-7047
T-0012,2026-04-01,66.5,4.27,289605,FS-8158
T-0019,2026-03-21,42.0,4.58,277897,FS-9670
T-0006,2026-04-02,21.3,3.37,189232,FS-4427
T-0039,2026-04-02,11.3,3.42,153441,FS-1303
T-0044,2026-03-21,20.6,4.63,175241,FS-3195
T-0014,2026-03-17,67.6,4.35,50922,FS-4733
T-0047,2026-03-21,52.9,4.5,216015,FS-1303
T-0050,2026-03-21,57.9,3.26,205642,FS-5613
T-0017,2026-03-25,60.4,4.03,242940,FS-7027
T-0001,2026-03-19,21.1,3.54,252067,FS-3657
T-0003,2026-03-21,68.8,4.41,192492,FS-6318
T-0037,2026-04-01,63.4,3.99,135274,FS-7018
T-0048,2026-03-31,59.9,4.11,94893,FS-9670
T-0008,2026-03-27,51.9,4.32,259320,FS-6465
T-0002,2026-03-17,53.2,4.22,150854,FS-8065
T-0045,2026-03-15,73.3,4.67,163000,FS-8158
T-0011,2026-04-01,51.7,4.4,23405,FS-9337
T-0014,2026-03-24,21.2,4.31,180449,FS-1342
T-0036,2026-03-16,36.4,3.38,100319,FS-3231
T-0028,2026-03-15,55.9,3.68,82749,FS-1849
T-0033,2026-03-24,46.3,4.36,293500,FS-4297
T-0026,2026-03-17,41.3,3.27,148851,FS-2373
T-0032,2026-03-19,44.7,4.44,217192,FS-6482
T-0047,2026-03-28,55.7,4.51,271804,FS-6482
T-0026,2026-03-19,75.9,3.19,221902,FS-1764
T-0021,2026-03-20,22.0,4.53,162450,FS-3657
T-0016,2026-03-25,41.6,3.59,259316,FS-1946
T-0027,2026-04-05,31.7,3.52,267110,FS-6535
T-0023,2026-03-23,59.3,3.87,150187,FS-4297
T-0006,2026-03-22,13.3,3.23,85162,FS-8844
T-0018,2026-03-15,41.3,3.5,253392,FS-5602
T-0041,2026-03-27,23.7,3.96,153603,FS-7047
T-0015,2026-03-23,64.6,4.81,254705,FS-2841
T-0019,2026-03-25,18.5,3.17,198675,FS-4733
T-0048,2026-03-15,30.7,4.66,172662,FS-1892
T-0002,2026-03-23,53.9,3.17,95331,FS-9019
T-0032,2026-03-19,18.6,4.8,18174,FS-2989
T-0019,2026-03-25,43.1,3.52,58486,FS-7707
T-0020,2026-03-24,59.4,4.02,290410,FS-5602
T-0037,2026-04-02,76.1,3.62,132645,FS-9519
T-0037,2026-03-28,73.8,4.15,160686,FS-5314
T-0039,2026-03-21,58.9,3.17,266955,FS-3813
T-0044,2026-04-02,25.1,4.09,94486,FS-9385
T-0046,2026-04-02,10.5,3.71,83113,FS-4427
T-0007,2026-03-17,44.2,3.92,187498,FS-1303
T-0036,2026-03-19,20.5,4.53,33268,FS-8170
T-0017,2026-03-17,35.8,3.54,115397,FS-1303
T-0014,2026-04-02,54.4,4.47,49164,FS-3443
T-0018,2026-03-20,45.6,4.6,99540,FS-1892
T-0047,2026-04-01,33.0,4.21,207144,FS-3845
T-0044,2026-03-21,58.0,4.82,153893,FS-4857
T-0049,2026-03-23,63.5,4.4,16507,FS-9457
T-0004,2026-03-17,47.6,3.49,108219,FS-5613
T-0028,2026-03-29,11.5,4.31,165840,FS-1582
T-0035,2026-03-28,40.5,3.55,243487,FS-8571
T-0023,2026-03-31,68.4,4.71,225463,FS-7225
T-0031,2026-03-16,79.5,3.72,89801,FS-9088
T-0027,2026-03-30,58.1,3.42,261670,FS-9062
T-0009,2026-04-01,48.7,4.81,281486,FS-7563
T-0019,2026-03-28,77.1,4.32,135494,FS-2239
T-0041,2026-03-21,16.2,3.89,294686,FS-4643
T-0042,2026-03-29,68.8,3.11,148611,FS-3174
T-0014,2026-03-18,64.0,4.0,281771,FS-6181
T-0026,2026-03-19,31.3,3.6,72391,FS-5608
T-0038,2026-03-23,39.7,4.59,192771,FS-1029
T-0015,2026-03-25,45.3,4.62,109541,FS-8571
T-0023,2026-03-28,66.4,4.49,57188,FS-8158
T-0038,2026-03-19,28.5,4.53,36101,FS-8850
T-0007,2026-03-21,77.5,3.74,254542,FS-7805
T-0003,2026-03-29,36.8,3.93,48298,FS-5424
T-0006,2026-04-04,18.3,3.78,220223,FS-7196
T-0034,2026-04-05,67.3,4.49,220006,FS-5277
T-0036,2026-03-22,20.4,4.4,27106,FS-3520
T-0012,2026-03-17,45.1,3.27,90054,FS-5608
T-0013,2026-03-22,76.8,3.35,214424,FS-3520
T-0039,2026-03-18,38.0,4.28,99984,FS-9134
T-0045,2026-03-15,67.8,3.44,173146,FS-4724
T-0029,2026-03-17,30.5,3.6,126690,FS-7018
T-0008,2026-04-04,26.7,4.08,133923,FS-3380
T-0046,2026-04-01,43.9,3.32,194428,FS-9419
T-0004,2026-03-21,78.4,4.49,283014,FS-1029
T-0040,2026-04-01,66.3,4.14,216639,FS-4297
T-0047,2026-03-17,66.0,4.38,102083,FS-4643
T-0044,2026-04-01,40.2,3.85,281616,FS-9088
T-0009,2026-04-01,63.9,4.46,140044,FS-3195
T-0016,2026-03-24,19.6,4.34,234488,FS-2503
T-0042,2026-03-25,68.5,3.57,182645,FS-5648
T-0047,2026-03-28,18.2,4.54,40391,FS-9385
T-0033,2026-04-04,37.4,3.62,42766,FS-5608
T-0041,2026-03-28,62.2,3.17,219014,FS-1849
T-0050,2026-04-04,68.5,4.44,25803,FS-9519
T-0005,2026-03-26,50.1,3.16,184505,FS-1394
T-0041,2026-03-28,33.9,4.48,190217,FS-1029
T-0007,2026-03-16,38.6,3.68,212214,FS-2939
T-0016,2026-03-28,48.8,3.62,110756,FS-1849
T-0014,2026-04-04,24.9,3.95,290899,FS-2503
T-0006,2026-04-01,47.4,3.57,103743,FS-5648
T-0040,2026-03-15,69.7,3.26,137375,FS-9062
T-0022,2026-03-28,16.6,3.65,283300,FS-5648
T-0016,2026-03-15,32.2,4.47,269907,FS-9062
T-0019,2026-03-29,75.3,3.39,60008,FS-8850
T-0037,2026-03-29,36.6,3.99,65457,FS-9088
T-0017,2026-04-01,35.7,4.65,130702,FS-3195
T-0022,2026-03-17,74.0,4.71,33500,FS-8571
T-0029,2026-03-20,70.8,3.15,136712,FS-8065
T-0003,2026-03-26,30.9,4.18,272053,FS-7027
T-0031,2026-03-24,14.6,3.63,103262,FS-9457
T-0035,2026-04-03,69.1,4.69,49692,FS-7441
T-0023,2026-03-28,62.8,4.61,295787,FS-7707
T-0013,2026-03-31,14.5,4.78,69777,FS-8065
T-0023,2026-03-26,48.5,4.35,107319,FS-8065
T-0010,2026-04-01,29.3,4.06,196398,FS-8170
T-0036,2026-03-21,63.2,4.38,46858,FS-6546
T-0016,2026-03-31,41.2,3.94,276286,FS-8158
T-0038,2026-03-15,59.0,4.61,110938,FS-1849
T-0029,2026-03-26,34.9,4.75,219470,FS-7225
T-0042,2026-04-05,64.2,4.19,25145,FS-9670
T-0023,2026-03-17,55.1,4.44,221455,FS-1330
T-0040,2026-03-30,68.7,3.94,286750,FS-3113
T-0025,2026-03-18,64.2,3.81,18000,FS-1946
T-0041,2026-04-03,63.6,4.26,249258,FS-5608
T-0010,2026-03-29,10.2,4.28,226416,FS-3231
T-0004,2026-04-04,52.9,4.3,146314,FS-3195
T-0012,2026-03-20,29.8,4.13,24588,FS-3016
T-0028,2026-03-29,52.2,4.75,95205,FS-9234
T-0002,2026-03-29,30.5,3.48,89995,FS-9519
T-0039,2026-03-22,37.1,4.56,266066,FS-4297
T-0016,2026-04-02,62.6,3.15,158499,FS-6465
T-0031,2026-03-18,46.7,3.59,263362,FS-8797
T-0004,2026-03-15,12.7,3.87,109934,FS-5314
T-0036,2026-03-16,68.0,4.01,114129,FS-4857
T-0001,2026-03-24,68.2,3.29,17498,FS-8969
T-0035,2026-03-21,75.8,4.69,216040,FS-7805
T-0019,2026-03-31,29.7,3.62,151254,FS-7018
T-0028,2026-04-04,75.3,3.99,35467,FS-1683
T-0036,2026-03-16,20.9,3.88,129216,FS-9457
T-0044,2026-04-05,38.6,3.35,18215,FS-9019
T-0013,2026-03-16,38.1,4.12,295276,FS-9385
T-0049,2026-03-25,66.6,3.18,16141,FS-2033
T-0010,2026-03-29,33.4,3.31,247225,FS-9175
T-0013,2026-03-26,51.6,3.51,74670,FS-1892
T-0022,2026-04-02,67.9,3.18,282773,FS-7018
T-0035,2026-03-22,78.6,3.92,185318,FS-2939
T-0048,2026-03-30,13.9,4.2,202510,FS-2841
T-0042,2026-03-16,22.3,4.76,208147,FS-1582
T-0022,2026-03-17,78.1,3.4,220145,FS-1342
T-0041,2026-03-18,47.7,4.55,167781,FS-5613
T-0031,2026-04-02,75.7,3.18,146055,FS-1582
T-0021,2026-03-25,13.4,4.3,288539,FS-7441
T-0004,2026-03-29,10.3,4.25,36262,FS-6181
T-0035,2026-04-03,11.2,4.01,192090,FS-5602
T-0044,2026-03-27,36.6,4.29,100325,FS-1946
T-0027,2026-03-30,39.0,4.79,105086,FS-1394
T-0009,2026-03-24,64.9,4.01,284234,FS-7500
T-0034,2026-03-28,74.0,3.85,119219,FS-9134
T-0035,2026-04-05,54.6,4.62,39704,FS-1029
T-0029,2026-03-30,22.2,4.29,110533,FS-7047
T-0017,2026-04-03,56.1,3.71,210746,FS-4857
T-0003,2026-03-15,11.1,4.09,83927,FS-4297
T-0021,2026-03-17,35.4,3.28,243144,FS-1764
T-0001,2026-03-19,50.8,4.18,144229,FS-1342
T-0044,2026-03-31,36.4,4.65,244604,FS-8397
T-0013,2026-03-20,65.0,3.22,92820,FS-8969
T-0003,2026-03-19,40.5,4.69,69579,FS-9175
T-0011,2026-03-16,55.0,3.26,25306,FS-6278
T-0008,2026-04-01,55.7,3.45,134106,FS-2939
T-0006,2026-03-27,14.5,4.48,208453,FS-8065
T-0007,2026-03-16,32.3,4.66,68036,FS-1672
T-0021,2026-03-25,73.8,4.79,146535,FS-4857
T-0050,2026-03-19,69.6,4.62,17491,FS-1683
T-0007,2026-03-29,17.9,3.81,223540,FS-6017
T-0017,2026-04-05,48.4,3.57,32719,FS-8158
T-0050,2026-03-27,63.4,3.81,227785,FS-5203
T-0039,2026-03-17,22.6,3.99,187291,FS-9385
T-0018,2026-03-22,62.8,3.79,173770,FS-4297
T-0043,2026-03-19,31.4,4.34,195858,FS-4857
T-0008,2026-03-31,75.8,4.71,214322,FS-6465
T-0009,2026-03-16,59.7,4.11,284379,FS-7018
T-0040,2026-04-04,58.8,4.26,174820,FS-4427
T-0014,2026-03-23,51.6,4.55,27933,FS-6546
T-0044,2026-03-29,63.4,3.6,136620,FS-5415
T-0036,2026-03-18,19.4,4.37,150808,FS-9062
T-0005,2026-03-29,24.3,4.28,159961,FS-2359
T-0012,2026-03-30,56.0,4.8,39389,FS-5277
T-0038,2026-04-01,18.3,4.01,256379,FS-4297
T-0029,2026-04-04,25.3,3.72,123664,FS-1683
T-0008,2026-03-20,28.9,3.91,140111,FS-2989
T-0010,2026-03-24,38.2,4.46,84209,FS-3014
T-0049,2026-03-17,78.3,3.39,122496,FS-3113
T-0006,2026-03-17,10.7,3.61,91511,FS-1946
T-0040,2026-04-05,78.0,4.37,239061,FS-1342
T-0009,2026-03-15,58.9,3.2,294633,FS-8797
T-0033,2026-04-02,41.4,4.09,42871,FS-8397
T-0011,2026-04-01,34.9,3.68,104201,FS-2239
T-0050,2026-04-04,69.8,4.31,287406,FS-9361
T-0010,2026-03-26,67.5,3.64,279979,FS-6546
T-0011,2026-03-20,74.3,3.9,158998,FS-6318
T-0042,2026-03-25,25.7,3.16,252665,FS-4857
T-0033,2026-04-01,62.5,3.44,273254,FS-7707
T-0027,2026-04-05,55.3,3.69,236106,FS-1892
T-0008,2026-03-19,35.2,3.18,224746,FS-2939
T-0005,2026-04-04,39.1,4.22,213626,FS-3016
T-0009,2026-03-18,57.7,4.18,123907,FS-6465
T-0013,2026-03-16,44.5,3.99,262275,FS-9670
T-0016,2026-04-05,14.5,3.5,211675,FS-1582
T-0026,2026-03-28,77.6,3.66,109946,FS-5602
T-0041,2026-03-15,27.7,3.43,154032,FS-9670
T-0019,2026-03-27,21.6,4.84,146764,FS-1029
T-0007,2026-03-30,49.7,4.29,92614,FS-6181
T-0013,2026-03-30,28.2,3.63,82788,FS-2989
T-0022,2026-03-23,29.7,3.25,281609,FS-9175
T-0012,2026-03-19,62.5,3.71,21179,FS-1764
T-0025,2026-03-19,22.3,3.72,22266,FS-1764
T-0008,2026-03-20,72.9,3.45,252582,FS-7441
T-0040,2026-03-16,76.3,4.6,110163,FS-9134
T-0007,2026-03-16,44.0,3.93,113604,FS-4427
T-0029,2026-03-29,43.2,4.6,60455,FS-2239
T-0036,2026-03-30,54.5,4.12,213879,FS-1849
T-0022,2026-03-25,60.0,4.45,229840,FS-7196
T-0037,2026-04-02,75.9,4.71,284509,FS-4724
T-0036,2026-03-24,36.3,3.37,58494,FS-8797
T-0047,2026-03-24,40.6,4.22,296996,FS-3231
T-0009,2026-03-26,31.3,4.14,288188,FS-7563
T-0011,2026-03-31,70.0,3.17,42756,FS-7805
T-0012,2026-03-21,36.1,4.58,252684,FS-2845
T-0033,2026-03-23,42.1,4.11,136348,FS-9670
T-0026,2026-04-04,73.9,3.6,113373,FS-9385
T-0039,2026-03-16,20.3,4.16,171813,FS-8170
T-0005,2026-03-27,42.8,3.81,81337,FS-9754
T-0049,2026-03-25,49.1,3.64,290752,FS-6278
T-0007,2026-03-16,71.0,3.11,123484,FS-2359
T-0046,2026-04-04,44.9,4.14,164423,FS-6278
T-0043,2026-03-17,61.6,4.44,99615,FS-6383
T-0021,2026-03-26,64.5,4.13,280056,FS-7692
T-0012,2026-03-28,52.6,3.86,272193,FS-4427
T-0050,2026-03-29,15.9,3.7,199174,FS-8550
T-0041,2026-03-31,50.3,4.83,253666,FS-6318
T-0029,2026-03-15,39.5,3.7,236621,FS-6370
T-0023,2026-03-21,69.2,4.21,169070,FS-9088
T-0012,2026-04-04,63.7,4.82,231930,FS-9457
T-0001,2026-03-31,45.7,3.39,189656,FS-6278
T-0022,2026-03-29,54.7,4.68,246276,FS-5314
T-0035,2026-03-25,28.2,4.16,230428,FS-3813
T-0045,2026-04-04,25.3,3.97,189578,FS-4857
T-0025,2026-03-30,23.8,4.18,56363,FS-3195
T-0021,2026-03-22,11.1,3.26,33864,FS-3443
T-0028,2026-04-03,17.1,4.52,251689,FS-9234
T-0001,2026-04-03,16.0,3.38,211321,FS-5424
T-0026,2026-03-28,72.3,3.27,114647,FS-7196
T-0025,2026-03-23,52.9,3.21,209109,FS-2841
T-0002,2026-03-29,78.6,4.08,70313,FS-3113
T-0036,2026-03-15,58.6,4.48,15546,FS-8844
T-0006,2026-03-22,16.0,3.92,283106,FS-7805
T-0038,2026-03-25,28.4,4.81,100666,FS-1307
T-0039,2026-03-31,53.3,3.44,264895,FS-8550
T-0034,2026-03-31,30.4,4.55,265161,FS-6465
T-0044,2026-03-27,62.4,3.75,201034,FS-2033
T-0038,2026-03-30,32.3,4.67,52686,FS-3520
T-0016,2026-03-28,79.0,3.16,35090,FS-1672
T-0009,2026-03-22,12.9,3.3,276800,FS-3380
T-0049,2026-03-31,61.3,4.1,113228,FS-2239
T-0045,2026-04-04,14.7,4.09,137598,FS-2845
T-0044,2026-03-21,24.0,4.31,16153,FS-8158
T-0023,2026-04-05,73.5,4.63,46005,FS-3380
T-0049,2026-03-26,71.2,3.62,125214,FS-2359
T-0044,2026-03-19,41.7,4.29,193974,FS-1672
T-0031,2026-04-01,40.1,3.89,29950,FS-5602
T-0030,2026-03-16,34.8,3.4,263144,FS-1849
T-0018,2026-03-29,71.2,3.76,175676,FS-9234
T-0015,2026-03-19,73.9,3.92,152144,FS-9175
T-0048,2026-03-29,39.7,4.79,32473,FS-7563
T-0006,2026-03-20,66.0,4.05,61284,FS-6370
T-0022,2026-03-25,31.6,3.98,218597,FS-3231
T-0004,2026-04-04,55.2,3.58,142053,FS-6318
T-0024,2026-03-20,66.0,3.76,273740,FS-8065
T-0009,2026-03-25,63.4,4.41,153009,FS-7805
T-0040,2026-03-28,37.5,4.42,76033,FS-5195
T-0009,2026-03-31,36.8,3.23,212910,FS-3813
T-0003,2026-03-22,47.0,3.74,222253,FS-5314
T-0039,2026-03-15,47.5,4.18,158268,FS-2033
T-0033,2026-03-27,68.0,4.0,248724,FS-9754
T-0038,2026-03-25,34.5,3.86,287026,FS-4733
T-0041,2026-03-18,31.9,4.14,186958,FS-8397
T-0032,2026-03-28,26.9,3.9,270550,FS-9670
T-0042,2026-04-03,38.8,4.67,156724,FS-5203
T-0042,2026-03-18,25.9,3.17,226076,FS-4857
T-0050,2026-04-01,56.5,4.78,162804,FS-1330
T-0050,2026-04-05,22.7,4.38,217409,FS-9234
T-0014,2026-03-31,20.8,3.67,282807,FS-8844
T-0021,2026-03-27,22.9,4.39,61283,FS-8170
T-0037,2026-03-30,43.5,3.11,86033,FS-9457
T-0040,2026-04-02,28.4,4.47,261251,FS-7225
T-0001,2026-03-26,20.2,3.24,203270,FS-1342
T-0015,2026-03-25,38.6,3.13,58149,FS-1029
T-0006,2026-03-28,35.5,4.0,290370,FS-7563
T-0033,2026-03-21,53.8,3.52,138517,FS-2033
T-0047,2026-03-22,70.4,3.91,273863,FS-3014
T-0025,2026-03-28,36.7,4.08,36580,FS-4427
T-0014,2026-03-16,37.2,4.55,210064,FS-8850
T-0010,2026-03-17,27.9,3.17,104767,FS-3231
T-0034,2026-04-01,62.8,4.73,118307,FS-9361
T-0041,2026-03-30,78.8,3.8,298646,FS-4857
T-0050,2026-04-05,47.6,3.87,79933,FS-5195
T-0006,2026-03-25,46.0,4.67,248274,FS-5203
T-0040,2026-03-23,16.0,4.76,70572,FS-5608
T-0039,2026-04-04,79.6,3.64,143929,FS-1342
T-0028,2026-03-30,70.6,3.92,146723,FS-7500
T-0008,2026-04-04,37.8,3.31,171929,FS-8571
T-0025,2026-03-25,59.1,3.97,180838,FS-1240
T-0034,2026-03-24,76.6,3.23,29426,FS-1330
T-0020,2026-03-18,64.1,4.16,114419,FS-8065
T-0024,2026-04-01,66.7,3.95,289505,FS-2989
T-0007,2026-03-17,16.6,3.31,236751,FS-8969
T-0036,2026-03-28,27.9,3.61,285118,FS-3380
T-0035,2026-03-29,68.8,3.91,161810,FS-7707
T-0015,2026-03-19,60.1,3.12,177376,FS-1582
T-0020,2026-04-02,29.3,3.75,207097,FS-5203
T-0025,2026-03-16,73.4,4.74,22045,FS-6535
T-0045,2026-03-22,41.8,3.52,40375,FS-9175
T-0035,2026-03-15,53.6,3.57,179517,FS-4297
T-0035,2026-03-18,20.3,4.04,116372,FS-8550
T-0035,2026-03-31,68.8,3.83,120659,FS-4139
T-0019,2026-04-04,63.6,4.31,83092,FS-5203
T-0049,2026-03-22,22.0,3.71,108313,FS-3380
T-0033,2026-04-01,63.1,3.15,93130,FS-3520
T-0040,2026-03-28,38.5,3.4,124626,FS-2939
T-0014,2026-04-01,56.8,4.15,53338,FS-8969
T-0001,2026-03-17,69.4,4.31,282342,FS-1683
T-0034,2026-03-16,60.1,4.59,224838,FS-1303
T-0025,2026-03-27,79.5,4.81,132020,FS-4724
T-0039,2026-03-31,36.2,4.45,246883,FS-9670
T-0049,2026-04-03,22.6,4.26,178924,FS-1946
T-0031,2026-03-29,26.9,4.46,26273,FS-5314
T-0035,2026-04-03,35.2,3.56,67055,FS-8844
T-0007,2026-03-17,49.1,4.65,121458,FS-7563
T-0048,2026-03-23,25.6,4.57,82867,FS-3231
T-0005,2026-03-16,67.9,4.81,182591,FS-4427
T-0027,2026-03-31,56.5,4.17,41306,FS-2033
T-0034,2026-03-26,22.2,4.32,87271,FS-9337
T-0039,2026-03-17,71.3,4.5,23492,FS-8571
T-0029,2026-03-31,26.8,4.84,150866,FS-2939
T-0021,2026-04-03,52.3,4.3,110302,FS-1342
T-0026,2026-04-02,19.3,4.74,84985,FS-6383
T-0003,2026-03-28,23.2,3.89,164671,FS-4427
T-0041,2026-03-17,31.1,4.54,64177,FS-9062
T-0046,2026-04-04,62.4,4.23,69103,FS-8158
T-0039,2026-03-20,27.6,4.7,215468,FS-5203
T-0006,2026-03-24,77.1,3.35,67052,FS-9088
T-0016,2026-03-26,37.6,4.33,83301,FS-9457
T-0043,2026-03-27,68.5,3.98,225046,FS-2939
T-0016,2026-03-16,40.8,4.82,185946,FS-8065
T-0037,2026-03-18,74.1,3.65,80912,FS-5602
T-0008,2026-03-19,22.2,3.83,139591,FS-1307
T-0026,2026-03-29,21.9,4.08,94412,FS-7707
T-0019,2026-03-15,24.0,4.17,96656,FS-2845
T-0027,2026-03-23,56.6,4.46,143518,FS-1849
T-0045,2026-04-04,32.9,4.8,134652,FS-9670
T-0041,2026-03-22,37.1,3.23,142488,FS-9088
T-0033,2026-03-20,78.8,4.11,171877,FS-3813
T-0013,2026-03-22,49.1,4.34,99303,FS-4427
T-0022,2026-04-05,50.6,4.61,116474,FS-7692
T-0010,2026-04-01,63.3,4.78,280460,FS-1582
T-0045,2026-03-23,42.2,4.64,66933,FS-3195
T-0025,2026-03-28,56.0,4.47,225242,FS-7027
T-0034,2026-03-25,74.0,4.76,124608,FS-5613
T-0001,2026-03-26,70.7,3.46,205280,FS-5602
T-0022,2026-03-15,58.0,4.04,129397,FS-1672
T-0045,2026-03-17,51.3,4.7,171390,FS-3380
T-0001,2026-03-30,43.3,3.68,93940,FS-4643
T-0038,2026-03-25,35.7,3.55,198653,FS-1303
T-0041,2026-03-19,14.0,4.58,187067,FS-7225
T-0019,2026-03-20,37.9,3.17,173907,FS-9385
T-0045,2026-04-04,66.9,3.46,197265,FS-9134
T-0026,2026-03-15,26.0,3.8,279091,FS-7441
T-0025,2026-03-21,72.0,4.16,108447,FS-2359
T-0003,2026-03-28,78.1,3.84,177732,FS-4427
T-0031,2026-04-01,39.7,4.63,265082,FS-3231
T-0038,2026-03-20,45.0,3.68,50202,FS-7196
T-0040,2026-03-31,64.3,3.98,37480,FS-6181
T-0009,2026-04-03,75.1,3.37,104904,FS-6370
T-0019,2026-03-16,28.5,4.02,299952,FS-4643
T-0011,2026-03-27,26.1,3.17,188864,FS-7500
T-0003,2026-03-24,35.3,4.35,268336,FS-8844
T-0046,2026-03-22,20.0,4.28,25971,FS-7636
T-0021,2026-04-05,48.0,4.59,298775,FS-1892
T-0028,2026-03-24,50.2,3.71,61006,FS-1683
T-0049,2026-04-04,48.6,4.1,151826,FS-7196
T-0042,2026-03-21,48.0,4.59,292793,FS-9175
T-0044,2026-03-25,45.6,3.42,288660,FS-4643
T-0008,2026-03-16,13.0,4.21,297269,FS-1240
T-0021,2026-03-25,20.6,4.32,118178,FS-8065
T-0006,2026-03-23,35.9,3.85,208064,FS-1672
T-0015,2026-04-01,39.8,4.11,184588,FS-8065
T-0034,2026-03-19,52.2,4.44,195082,FS-9337
T-0019,2026-03-25,66.1,3.5,282880,FS-1330
T-0027,2026-03-16,46.8,4.28,240805,FS-4427
T-0005,2026-03-22,40.1,3.55,229082,FS-2841
T-0045,2026-03-26,30.2,3.36,152678,FS-9088
T-0050,2026-03-21,24.2,4.45,87327,FS-6181
T-0015,2026-04-03,62.3,4.26,118522,FS-8397
T-0001,2026-03-17,67.7,4.49,121685,FS-1582
T-0035,2026-03-28,13.1,3.58,157687,FS-1330
T-0035,2026-03-22,43.0,3.86,155811,FS-8065
T-0020,2026-03-31,60.2,4.56,230917,FS-6318
T-0038,2026-03-20,42.6,4.57,44565,FS-9088
T-0044,2026-04-02,32.9,4.04,263457,FS-4427
T-0014,2026-03-23,63.6,3.92,104055,FS-7225
T-0029,2026-03-27,56.1,3.31,135235,FS-8571
T-0038,2026-03-20,34.9,4.17,122778,FS-1764
T-0048,2026-03-25,15.1,3.88,229640,FS-4427
T-0048,2026-03-25,78.0,4.81,256231,FS-4297
T-0007,2026-03-15,29.7,3.52,202271,FS-3845
T-0045,2026-03-18,68.6,3.58,120737,FS-1029
T-0043,2026-03-25,39.5,4.22,65558,FS-7692
T-0024,2026-03-31,23.3,4.09,17773,FS-6181
T-0039,2026-03-26,28.0,4.45,249559,FS-8158
T-0043,2026-04-01,17.5,3.52,243154,FS-1307
T-0019,2026-03-29,55.7,3.15,195616,FS-1342
T-0017,2026-03-27,25.9,3.41,153147,FS-3016
T-0032,2026-03-23,20.0,4.1,128029,FS-4724
T-0048,2026-03-30,61.0,3.44,233715,FS-4724
T-0045,2026-03-22,22.4,3.59,115944,FS-1764
T-0017,2026-03-18,34.9,4.09,95512,FS-4857
T-0003,2026-03-26,55.9,3.4,77012,FS-3657
T-0027,2026-04-03,51.5,4.29,186633,FS-6370
T-0034,2026-03-15,60.7,3.28,21554,FS-8550
T-0048,2026-03-17,38.6,4.59,224312,FS-8550
T-0036,2026-03-25,29.3,3.33,285639,FS-3113
T-0016,2026-03-15,30.1,4.05,194460,FS-1240
T-0049,2026-03-25,64.6,4.34,79708,FS-3113
T-0044,2026-03-30,57.7,4.16,115918,FS-8571
T-0028,2026-03-18,64.0,4.18,18760,FS-5195
T-0026,2026-03-29,28.2,3.14,63128,FS-7047
T-0039,2026-03-25,25.4,4.76,235152,FS-7692
T-0004,2026-03-24,23.0,4.74,26481,FS-4643
T-0024,2026-03-26,73.5,3.56,26944,FS-8571
T-0044,2026-03-23,42.6,4.77,30084,FS-6383
T-0023,2026-03-19,10.1,4.41,57427,FS-8065
T-0014,2026-03-25,78.6,3.66,74865,FS-4139
T-0030,2026-03-24,41.0,3.35,182622,FS-3443
T-0043,2026-04-02,62.7,3.59,58683,FS-3520
T-0006,2026-03-20,63.1,3.65,120835,FS-3380
T-0032,2026-04-01,73.4,3.3,101340,FS-7636
T-0015,2026-03-26,69.4,3.17,209899,FS-7500
T-0017,2026-04-05,37.2,3.83,115813,FS-2841
T-0030,2026-03-17,50.9,3.38,221816,FS-2989
T-0041,2026-03-22,23.7,4.82,289167,FS-6383
T-0035,2026-03-16,75.4,4.61,157387,FS-6383
T-0034,2026-03-25,22.9,4.74,45096,FS-5277
T-0031,2026-03-24,34.3,3.61,196638,FS-9019
T-0003,2026-04-02,38.4,3.76,265603,FS-2939
T-0002,2026-03-30,46.5,3.49,199539,FS-7196
T-0023,2026-04-01,31.1,3.48,189274,FS-7225
T-0047,2026-03-23,21.9,4.61,67554,FS-6383
T-0015,2026-03-26,25.3,4.66,110870,FS-3657
T-0043,2026-03-22,63.6,4.79,197594,FS-2239
T-0001,2026-03-20,56.3,4.76,116240,FS-5314
T-0049,2026-03-19,12.7,4.28,107161,FS-3657
T-0028,2026-03-29,37.7,4.82,185397,FS-6181
T-0044,2026-03-17,31.0,3.56,279099,FS-7027
T-0009,2026-03-25,72.8,4.53,118047,FS-9337
T-0015,2026-03-22,48.7,4.35,82642,FS-4139
